book_name,book_author,book_narrator,book_price,book_imagelink
The Book,Keith Houston,Dennis Kleinman,$17.49,https://m.media-amazon.com/images/I/41-Cmh8JOBL._SL500_.jpg
The Book of Satoshi,Phil Champagne,Stephanie Murphy,$19.95,https://m.media-amazon.com/images/I/51q7hfFC7TL._SL500_.jpg
The Product Book,Product School,Russell Newton,$19.95,https://m.media-amazon.com/images/I/51xOb+NhSiL._SL500_.jpg
The Book on Healthcare IT Volume 2,James Scott,Kelly Rhodes,$14.95,https://m.media-amazon.com/images/I/61z8Kk40DjL._SL500_.jpg
Coding Languages for Absolute Beginners: 6 Books in 1,Zach Webber,William Bahl,$19.95,https://m.media-amazon.com/images/I/51C11P1JS7L._SL500_.jpg
"Learn Fast How to Hack, Strategies and Hacking Methods, Penetration Testing Hacking Book and Black Hat Hacking",Alex Wagner,Matthew Broadhead,$6.95,https://m.media-amazon.com/images/I/61zeWCkZ8rL._SL500_.jpg
Printer's Error,Rebecca Romney,J.P. Romney,$24.95,https://m.media-amazon.com/images/I/615OcHSWprL._SL500_.jpg
Social Media Marketing for Business 2022 - 6 Books in 1,Nathan Damron,Tom Brooks,$29.95,https://m.media-amazon.com/images/I/51vLIIu+I9L._SL500_.jpg
Neural Networks for Beginners,Russel R. Russo,Zachary Zaba,$14.95,https://m.media-amazon.com/images/I/51HK3v1rgVL._SL500_.jpg
Coding Games,Robert C. Matthews,Ben Herold,$19.95,https://m.media-amazon.com/images/I/51OtJ1jhv6L._SL500_.jpg
Social Media Marketing: 7 Books in 1,Charles Edwards,Richard Barrett,$29.95,https://m.media-amazon.com/images/I/61JRmHoXiuL._SL500_.jpg
User Story Mapping,Jeff Patton,Roy McCrerey,$39.99,https://m.media-amazon.com/images/I/51p99PPnqPL._SL500_.jpg
Social Media Marketing Strategy 2022 3 Books in 1,Dan Cannell,K.C. Wayman,$24.95,https://m.media-amazon.com/images/I/51ogDGbnryL._SL500_.jpg
Breakthrough: Shatter the 25 Little Lies Holding You Back from Firing Your Boss and Launching the Online Business You've Always Dreamed Of,Jonathan Green,Michelle Murillo,$19.95,https://m.media-amazon.com/images/I/51JgbIVGDhL._SL500_.jpg
The Poisoner's Handbook,Deborah Blum,Coleen Marlo,$24.95,https://m.media-amazon.com/images/I/51SFgwk3pGL._SL500_.jpg
